claim_id,claim,implication,scope,language,market,jurisdiction,status,evidence,owner,approved_channels,qualifier,approved_for_publish,expires_at
C-001,"DPF cleaning from 100 EUR","A qualifying passenger filter can be serviced at or above a real starting price",website,ALL,Estonia,EE,VERIFIED_OWNER,"SRC-002|SRC-009","Luka and Danik",WEB,"Starting price; exact price depends on filter type and condition",true,2027-08-11
C-002,"Commercial-vehicle DPF cleaning from 200 EUR","A qualifying commercial filter can be serviced at or above a real starting price",website,ALL,Estonia,EE,VERIFIED_OWNER,"SRC-002|SRC-009","Luka and Danik",WEB,"Starting price; exact price depends on filter type and condition",true,2027-08-11
C-003,"Cleaning/turnaround within 24 hours","The current applicable service path can finish inside 24 hours",website,ALL,Estonia,EE,VERIFIED_OWNER,"SRC-002|SRC-009","Luka and Danik",WEB,"Use within the currently published collection/return context and revalidate when capacity or coverage changes",true,2027-08-11
C-004,"Restore up to 98 percent of flow capacity","The current cleaning/test process can produce the stated maximum result",website,ALL,Estonia,EE,VERIFIED_OWNER,"SRC-002|SRC-009","Luka and Danik",WEB,"Keep the words up to; do not imply every filter reaches 98 percent",true,2027-08-11
C-005,"Guarantee of the cleaning result","DPFLAB stands behind the current cleaning result statement",website,ALL,Estonia,EE,VERIFIED_OWNER,"SRC-002|SRC-009","Luka and Danik",WEB,"Do not add duration remedy or universal eligibility beyond the confirmed visible wording",true,2027-08-11
C-006,"DPFLAB collects and returns the filter","Collection and return are operationally available under the current service conditions",website,ALL,Estonia,EE,VERIFIED_OWNER,"SRC-002|SRC-009","Luka and Danik",WEB,"Exact route and price remain subject to qualification",true,2027-08-11
C-007,"Works with all DPF and FAP filter types for passenger and commercial vehicles","The current operational capability covers the published DPF/FAP scope",website,ALL,Estonia,EE,VERIFIED_OWNER,"SRC-002|SRC-009","Luka and Danik",WEB,"Do not extend this to damaged or ineligible filters without diagnosis",true,2027-08-11
C-008,"Motorlab OÜ identity address opening hours and ru/et/en service capability shown on the site","The named entity location hours and three-language service are current and authorized",website,ALL,Estonia,EE,VERIFIED_OWNER,"SRC-002|SRC-009","Luka and Danik",WEB,"Revalidate after any legal address schedule or language-support change",true,2027-08-11
C-009,"DPFLAB contact phone is +372 5555 5014","This is the authorized public response number",website,ALL,Estonia,EE,VERIFIED_OWNER,"SRC-005|SRC-009 explicitly supplied and reconfirmed",Egor,WEB,"Use normalized tel link +37255555014",true,2027-08-11
C-010,"DPFLAB asks for the vehicle registration number to confirm the model and variant, check the applicable filter and calculate a more accurate price","The field has a concrete qualification purpose rather than being a generic data request","website and Meta Instant Form drafts",ALL,Estonia,EE,VERIFIED_OWNER,"SRC-014|SRC-015","Egor from Luka and Danik workflow context","WEB|META_DRAFT","Do not promise an instant lookup, exact fitted part or automatic price until the registry/catalog integration is contracted and verified",true,2027-08-11
