gate,status,evidence,blocker,recommendation,owner_decision,owner,decision_date
G0,PASS_WITH_RECORDED_RISK,"00-project-index.md|SRC-005|D-007","The delegated technical operator explicitly authorized this release; direct Luka/Danik approval is not separately attached","Freeze the released version; require a new explicit decision for another production mutation and retain business-owner control over claims ads and privacy","APPROVED_PRODUCTION_DEPLOY_BY_OPERATOR","Egor; Luka/Danik",2026-08-11
G1,BLOCKED,"SRC-001|SRC-002|SRC-003|SRC-004|evidence/2026-08-11-baseline.md","No GSC analytics ad-final-URL backlink log call/payment or complete legacy export","Collect the union baseline with timestamps and limitations before structural changes",,"Egor",2026-08-11
G2,BLOCKED,"11-measurement-plan.csv|SRC-004|SRC-006","No end-to-end real scenarios; Meta webhook lacks META_APP_SECRET; provider events disabled; privacy requirements unresolved","Keep events disabled; obtain app secret and approved privacy boundary then run row-level scenario QA",,"Egor",2026-08-11
G3,PASS_WITH_RECORDED_RISK,"03-uncertainty-register.csv|04-method-plan.csv|SRC-010|SRC-011|SRC-012","Claim substantiation and service blueprint are complete and web quality is active; search migration and measurement inputs remain incomplete","Continue only the selected methods; keep unverified measurement and search work explicitly blocked",,"Egor",2026-08-11
G4,BLOCKED,"05-audience-contracts.csv|06-intent-page-map.csv|07-url-migration-map.csv","Audience rows are hypotheses; current search/ad evidence and owner route decisions are missing","Preserve six current URLs; do not add indexable service permutations yet",,"Luka and Danik",2026-08-11
G5,PASS_WITH_RECORDED_RISK,"08-claim-ledger.csv|SRC-009","No external case/test files are attached; this does not block the owner-confirmed current claims but limits stronger extensions","Preserve the current qualified wording and revalidate facts by 2027-08-11 or after operational change","APPROVE_CURRENT_SITE_FACTS","Luka and Danik",2026-08-11
G6,BLOCKED,"08-claim-ledger.csv|09-page-contracts.csv|SRC-009|SRC-010","Page contracts and claim joins exist but ET/EN terminology and privacy/legal translations are not reviewed; G4 route ownership remains unresolved","Review RU content/legal contract then perform named ET/EN linguistic and legal parity review without strengthening claims",,"Luka and Danik",2026-08-11
G7,BLOCKED,,"No approved G4-G6 inputs for a design handoff","Do not use visual redesign to decide facts architecture or offer",,"Egor",2026-08-11
G8,BLOCKED,"SRC-001|SRC-004|SRC-012|SRC-013|20-quality-qa.md|21-production-release.md","Production public routes structured data form validation images and Access boundary passed, but G4/G6/G7 prerequisites and authenticated CRM/provider scenarios remain unverified","Keep the released version frozen; complete route/content decisions, authenticated CRM, consent and provider drills on develop","DEPLOYED_BY_EXPLICIT_OPERATOR_OVERRIDE","Egor",2026-08-11
G9,BLOCKED,"SRC-008|SRC-012|SRC-013|20-quality-qa.md|21-production-release.md","Fresh D1 backup rollback Worker additive migrations local valid lead and production public/invalid-form smoke passed, but URL decisions and the complete staging matrix remain unverified","Monitor the bounded release; complete missing launch evidence on develop before any next production mutation","DEPLOYED_BY_EXPLICIT_OPERATOR_OVERRIDE","Egor",2026-08-11
G10,BLOCKED,"D-007|21-production-release.md","The delegated technical operator explicitly instructed and completed the bounded release while hard G8/G9 prerequisites remained blocked; direct Luka/Danik approval is not separately attached","Record the override without relabelling gates as passed; freeze production and require prerequisite closure plus a new explicit decision for another release","DEPLOYED_BY_EXPLICIT_OPERATOR_OVERRIDE","Egor; Luka and Danik",2026-08-11
G11,BLOCKED,"11-measurement-plan.csv","No reconciled operating baseline or monitoring owner cadence","Start learning only after paid jobs revenue expenses and provider diagnostics are reconciled",,"Luka and Danik",2026-08-11
