decision_id,area,recommendation,owner_decision,evidence,decided_by,decided_at,supersedes_decision_id,implementation_status,verification_status
D-001,routing,"Use REBUILD / CONTROLLED_MIGRATION / FULL because live multilingual URLs ads lead persistence CRM and Cloudflare data can be harmed",,"SRC-001|SRC-002|SRC-003|SRC-004",,2026-08-11,,PACK_CREATED,VALIDATED_PENDING
D-002,develop_deployment,"Apply 0010 and deploy the tested CRM build to develop only","APPROVED_DEVELOP_ONLY","SRC-004|SRC-008",Egor,2026-08-11,,COMPLETE,"MIGRATION_CLEAN|PUBLIC_SMOKE_PASS|PRODUCTION_UNTOUCHED"
D-003,crm_cost_model,"Keep partner customer-direct price as reference; remove per-deal DPFLAB costs; use general business expenses without attachments","APPROVED_FOR_FEEDBACK","SRC-005|SRC-001",Egor,2026-08-11,,COMPLETE,"128_TESTS|DEVELOP_SCHEMA_VERIFIED"
D-004,public_claims,"Treat current-site commercial statements as owner-confirmed within their current visible scope","APPROVE_CURRENT_SITE_FACTS","SRC-002|SRC-009|08-claim-ledger.csv",Egor,2026-08-11,,COMPLETE,"CLAIM_LEDGER_UPDATED; EXPIRES_2027-08-11"
D-005,proof_assets,"Continue without treating limited cases and original photographs as a launch blocker","APPROVED","SRC-009",Egor,2026-08-11,,ACTIVE,"No fabricated proof may be introduced"
D-006,develop_quality,"Repair invalid structured data and inaccessible client-side form errors on develop without changing approved claims","APPROVED_DEVELOP_ONLY","SRC-011|SRC-012|SRC-013",Egor,2026-08-11,,COMPLETE,"130_TESTS|BUILD_PASS|DEVELOP_RU_ET_EN_RUNTIME_PASS|PRODUCTION_UNTOUCHED"
D-007,production_launch,"Release the tested ca54958 artifact after a fresh production D1 backup additive migrations rollback capture and production smoke","APPROVED_PRODUCTION_DEPLOY_BY_OPERATOR","20-quality-qa.md|21-production-release.md",Egor,2026-08-11,D-002,COMPLETE,"PROD_VERSION_e72d063a|ROLLBACK_85eea6aa|D1_BACKUP_30365_BYTES|MIGRATIONS_CLEAN|PUBLIC_RUNTIME_PASS"
D-008,develop_visual_direction,"Build the first bounded filter-substrate hero candidate without changing approved content routes measurement or CRM behavior","APPROVED_DEVELOP_ONLY","16-design-handoff.md|22-dev-hero-direction.md",Egor,2026-08-11,,DEPLOYED_DEVELOP,"DEV_VERSION_a453391f|CHECK_0|130_TESTS|BUILD_PASS|DESKTOP_RU_ET_EN_PASS|DEV_SSR_NOINDEX_PASS|PRODUCTION_UNCHANGED|MOBILE_RUNTIME_NOT_VERIFIED"
D-009,registration_number_intake,"Replace the ambiguous vehicle/filter question with a required vehicle registration number across the website CRM and new RU ET EN Meta drafts; preserve legacy vehicle details and do not switch ads","APPROVED_DEVELOP_AND_META_DRAFTS","SRC-014|SRC-015|SRC-016|C-010|23-registration-number-intake.md",Egor,2026-08-11,,DEPLOYED_DEVELOP_META_REVIEW,"DEV_VERSION_a426e523|CHECK_0|134_TESTS|BUILD_PASS|RU_ET_EN_LIVE_MOBILE_PASS|D1_COUNT_8_UNCHANGED|META_FORMS_CREATED_AND_UNATTACHED|PRODUCTION_FROZEN"
D-010,registration_number_production_launch,"Release the tested registration-number intake to dpflab.ee without changing D1 schema Meta ad attachments campaigns or spend","APPROVED_PRODUCTION_DEPLOY_BY_OPERATOR","D-009|SRC-017|24-registration-number-production-release.md",Egor,2026-08-11,D-009,COMPLETE,"PROD_VERSION_2f98b126|ROLLBACK_e72d063a|D1_TIMETRAVEL_000009e9|NO_PENDING_MIGRATIONS|RU_ET_EN_LIVE_MOBILE_PASS|INVALID_ACTION_422|D1_22_TO_22|META_ADS_UNCHANGED"
