source_id,type,location,captured_at,jurisdiction,market,device,filters,sample,limitation,status
SRC-001,repository,"git release/growth-foundation@4aa96c6",2026-08-11,EE,Estonia,server,"local working copy; unmerged branch","full tracked implementation and tests","Does not prove deployed runtime or business facts",CAPTURED
SRC-002,live_site,https://dpflab.ee/,2026-08-11,EE,Estonia,"desktop unauthenticated HTTP","SSR HTML and HTTP status","six public localized/legal URLs","Current publication is OBSERVED_ONLY; no behavior or conversion evidence",CAPTURED
SRC-003,technical_seo,"https://dpflab.ee/robots.txt|https://dpflab.ee/sitemap.xml",2026-08-11,EE,Estonia,"unauthenticated HTTP","current public files","robots and six sitemap URLs","Not a complete legacy inventory without GSC logs backlinks ads and referrals",CAPTURED
SRC-004,cloudflare_develop,"Cloudflare Worker dpflab-develop and D1 dpflab-develop",2026-08-11,EE,Estonia,server,"post-deploy read-only checks","migration status; table names; seven route checks","Technical staging evidence only; production untouched; no authenticated CRM task run",CAPTURED
SRC-005,owner_context,"project conversation and supplied workflow",2026-08-11,EE,Estonia,n/a,"DPFLAB operations and cost model","owner/delegated-operator statements","Business hypothesis until Luka/Danik confirm operations and public claims",CAPTURED
SRC-006,meta_configuration,"local Meta files plus Cloudflare develop secret-name list",2026-08-11,EE,Estonia,server,"names and presence only; values excluded","configured IDs forms and secret names","META_APP_SECRET absent; no live webhook event or provider delivery proof",CAPTURED
SRC-007,meta_forms,"/Users/egorstupin/Developer/dpf_lab/meta-instant-forms-drafts.json",2026-08-11,EE,Estonia,n/a,"RU ET EN draft forms","three form definitions","Platform drafts are not leads sales or approved final creative",CAPTURED
SRC-008,rollback,"/Users/egorstupin/Developer/dpf_lab/backups/dpflab-develop-pre-0010-2026-08-11.sql",2026-08-11,EE,Estonia,server,"develop D1 pre-0010 export","one verified non-empty SQL export","Covers develop D1 only; excludes R2 Worker config and production",CAPTURED
SRC-009,owner_confirmation,"project conversation on 2026-08-11",2026-08-11,EE,Estonia,n/a,"explicit confirmation of current public facts","services prices timing results guarantee collection coverage identity address hours and ru/et/en service capability","Owner-confirmed facts; real cases and original photographs remain limited but were explicitly declared non-blocking",APPROVED
SRC-010,service_blueprint,"18-service-blueprint.md",2026-08-11,EE,Estonia,n/a,"current site form plus implemented CRM stages plus owner-confirmed workflow","installed removed workshop and uncertain scenarios","Heuristic operational model; reopen if Luka/Danik change handoffs ownership prices or partner model",COMPLETE
SRC-011,quality_target,"19-quality-acceptance.md",2026-08-11,EE,Estonia,"desktop mobile keyboard server","WCAG 2.2 AA target plus rendering privacy reliability and performance criteria","six public routes qualification form consent and develop CRM critical path","Target is not a conformance claim; runtime evidence is still required",APPROVED_FOR_QA
SRC-012,runtime_qa,"20-quality-qa.md",2026-08-11,EE,Estonia,"1440x900 and 390x844 browser plus local/build checks","production baseline local retest and develop Worker af41c15a post-deploy retest","twelve public routes; localized invalid-form scenarios; structured data; consent necessary-only","No valid lead or authenticated CRM task; no provider accept/revoke trace; PageSpeed API quota blocked numeric performance",CAPTURED
SRC-013,cloudflare_develop,"Cloudflare Worker dpflab-develop version e4e2bbcc-f61b-4fd4-b66b-4e4f9ec7ed10",2026-08-11,EE,Estonia,server,"develop-only deployment and cache-busted public retest","six public routes plus RU ET EN error states; final SSR smoke","Production unchanged; immediate prior version af41c15a-82a3-4859-8d12-9b9b800732d5 retained as rollback target",VERIFIED
SRC-014,owner_workflow,"project conversation on 2026-08-11",2026-08-11,EE,Estonia,n/a,"explicit instruction to replace vehicle/filter intake with registration number","website CRM and RU ET EN Meta form qualification","Owner-confirmed operating practice; does not by itself prove a public lookup API or instant price",APPROVED
SRC-015,official_registry,"https://transpordiamet.ee/andmevahetusplatvorm",2026-08-11,EE,Estonia,server,"official AVP input output and fee documentation","registration mark input; vehicle basic and technical data groups","NORMATIVE provider capability only; access requires a separate agreement basis and paid package; does not identify the fitted filter or prove instant pricing",CAPTURED
SRC-016,registration_intake_qa,"23-registration-number-intake.md|evidence/registration-number-ru.png",2026-08-11,EE,Estonia,"Meta Graph plus local and develop Worker/D1 plus 390x844 Chromium","RU ET EN candidate forms; current ad scan; localized public form; valid local lead; live develop non-submit flow and unchanged D1 count","Provider forms are active library objects but unattached; local test lead is not a production lead; ET/EN linguistic and legal review pending; production remains frozen",VERIFIED
SRC-017,registration_intake_production_release,"24-registration-number-production-release.md|evidence/registration-number-ru.png",2026-08-11,EE,Estonia,"Cloudflare production deployment and D1 read queries plus 390x844 bundled Chromium and read-only Meta ad scan","Production Worker version; RU ET EN live form and privacy paths; invalid action envelope; D1 row count; Access boundary; Meta form attachment scan","No valid production lead was sent; authenticated CRM and signed Meta webhook remain unverified; ET Meta-owned standard labels may remain English",VERIFIED
